Sentences,Score
"Chapter I The time
Charles Dickens
History of two cities
It was the best of times, it was the worst of times, age of wisdom, and also of madness; the epoch of belief and unbelief; the era of light and darkness; the spring of hope and winter of despair.",4
"We had everything before, but we had nothing; derechura walked in the sky and we were all going the opposite way.",4
"In short, the time was so similar to today, our most notable authorities insist that, both in respect to good and evil, is only acceptable comparison superlatively.",4
On the throne of England was a highly developed jaw king and queen current face; on the throne of France there was a king too large jaw and a queen beautiful face.,4
"In both countries it was clearer than crystal to the lords of the State, that things in general were insured forever.",4
"It was the year of our Lord, in 1775.",4
"So it favored in times like this,
had been granted to England the spiritual revelations.",4
Mrs.,4
"Southcott had recently met the twenty-fifth anniversary of its sublime appearance in the world, which was announced with timely by a bodyguard, predicting that preparations were made to swallow London and Westminster.",4
"Even the specter of Callejuela del Gallo had been permanently banished, after prowling the world for twelve years and reveal their messages to mortals in the same way that spirits last year, who accused an extraordinary poverty of originality by revealing his.",4
"The only messages earthly order that received the crown and the English people, came from a congress of resident British subjects in America, messages, oddly enough, have proved more important to the human race that few were received by the mediation any of the elves Callejuela del Gallo.",4
"France, less favored in matters of spiritual order that his sister, shield and trident, rolled with extraordinary smoothness downhill, making paper money and gastándoselo.",4
"Under the guidance of her Christian pastors, he also entertained with distractions as humanitarian as sentencing a young man that he cut his hands, he ripped his tongue with pliers and burned alive, for the heinous crime of not having kneeling in the mud one day rainy, to pay due deference to a procession of monks which passed before his eyes, even at the distance of fifty or sixty meters.",4
"It is very likely that when the unfortunate man was taken to the torture, the woodcutter fate had already scored in the woods of France and Norway, the ancient trees that the saw had to turn tables to build this movable platform, provided your basket and your knife, how terrible was to achieve fame in history.",4
"It is also quite possible that in the rustic sheds some farmers from immediate to Paris lands, were that day, sheltered from bad weather, rude carts full of mud, husmeadas by pigs and serving perch poultry, which the plowman Death had already chosen to make them the wagons of the Revolution.",4
"It is true that if the woodcutter and the peasant worked incessantly, his work was quiet and no human ear perceive their footsteps still, especially as harboring the fear that those were awake, he would have been to confess atheist and traitor.",4
There was hardly in England atom order and protection to justify national boasting.,4
"The capital itself was, at night, theater armed robberies and daring crimes.",4
Publicly families not to leave the city without bringing before their securities to the repository only places where they were sure it warned.,4
"Which at night he exercised highwayman, acted honest day trader in the City, and if ever he was recognized by one of the traders who assailed in his capacity as captain, he shot daringly shot in the head to escape after ; the Mail stagecoach was attacked seven bandits, which killed three, the guard, who then, in turn, was killed by the other four, as a result of munitions have failed, and so the measure could be stolen quietly; Grand mayor of London was docked at Turnham Green by a bandit who robbed the illustrious hero to the beards of his numerous escort.",4
London prisons in fierce battles between prisoners and their jailers and majesty of the law are conveniently arcabuceaba were fought.,4
"The thieves snatched the diamond crosses the necks of noble lords in the same classrooms of the Court; Musketeers entered San Gil seeking genres smuggling, but the crowd fired on the soldiers, who replied the same way against the populace, without which no one would happen to think that such an event was not one of the most common and trivial.",4
"TO

all this the executioner was always very busy, but no use.",4
"As soon he left hung large bunches of criminals, and hanged on Saturday a thief who last Thursday was surprised to enter a neighbor's house or burned in Newgate dozen people or the next morning, hundreds of pamphlets in Westminter door-Hall; and he killed today and tomorrow a heinous murderer to a miserable thief who took sixpence the son of a farmer.",4
All these things and a thousand others like that occurred in the blessed year in 1775.,4
"Surrounded by them, while the Woodman and Labriego continued their slow work, both characters large jaws and two women, one beautiful and the other insignificant, and had lived pleased to spearhead their divine rights.",4
"So seven hundred seventy year and five thou led his greatness and myriads of insignificant beings, among which are those that are required in this chronicle, along the roads that lay before his footsteps.",4
"Chapter II Diligence
Walking path the first of the characters in this story, the night of Friday November was to Dover.",4
The traveler followed diligence as she moved slowly down the slope of the hill Shooter.,3
"The traveler was up walking through the mud, alongside the rickety box carriage, just as did his companions, not desire to exercise, but because the slope, harnesses and mud and diligence, were so heavy that the poor horses had already stopped three times, and one of them crossed the car on the road with the purpose seditious turning to Blackheath.",4
"The reins and whip, the driver and the guard, combined, had read the article ordinances which ensures that never, under any circumstances, be right animals, and thanks to that shot back to the line of duty.",4
"With their heads and tails trembling tried way through the thick mud road, stumbling and tumbling occasionally.",4
"And when the foreman gave them some rest, the front horse violently shaking his head as if to deny the possibility that the vehicle might never reach the top of the hill.",4
"They covered the hollows and slid attached to the land of aqueous vapor clouds, like evil spirits seeking rest and does not find it.",4
"The fog was sticky and very cold and progressed through the air to form curls and waves, which were pursued and reached, like the waves of a rough sea.",4
"It was dense enough to enclose in close circle spilling light the lamps of the carriage, to prevent the steam jets giving off the horses noses they saw.",4
Two passengers in addition to mentioned laboriously climbed the slope beside diligence.,4
The three had uploaded their necks wore coats and high boots.,4
"None of them could say that they were their companions, so carefully recataban all his features and character in the eyes of the body and soul of their peers.",4
"By the time the travelers showed hardly communicative with their peers, because any of them could be a bandit or an accomplice of the bandits.",4
"As for these, they abounded in taverns or inns extraordinarily, where you could find numerous soldiers in the pay of captain, and among them appeared from the same landlord until the last groom.",4
ice blocks.,4
"He wore his hand on a chest in which he had a loaded musket, and plenty of six or seven guns arzón on a lower layer of sables.",4
"On this trip the diligence of Dover happened and all he did, that is, that the guard suspected of travelers, they distrusted each other and the guard, and looked at each other suspiciously.",4
"As the driver, I was only sure of his horses; but even with respect to these he has sworn, by the two Testaments that the horses were not suitable for that trip.",4
-Giddy Up!,1
cried the cochero.- Up!,1
A more effort and you will come up!,3
"Hey, Joseph!",0
-What do you want?,4
He said the guard.,4
-What time is it?,4
'At least ten past eleven.,4
-Demon!,0
"She cried the cochero.- And we have not yet reached the top of that
damn hill.",4
Giddy Up!,1
Giddy Up!,1
Lazy!,0
"The front horse, who received a lash driver, jumped and undertook
the march dragging his three companions.",4
"Stagecoach continued to progress followed by travelers, who tried not to leave her and stopped when the vehicle he did, because if any of them had proposed a companion advance a little in the fog and darkness, would have exposed to receive a shot like a highwayman.",4
"The latest effort took the car to the top of the hill, where the three horses stopped to catch her breath, while the guard down in order to fit the wheel for the descent and open the car door for travelers montasen.",4
-Joseph!,0
said the driver from his seat.,3
"What do you want, Tom?",4
The two were listening.,4
I think I know about a horse trotting.,4
"Well, I think it comes galloping replied the guard perching his sitio.-
Gentlemen, please the king!",4
"And after making this call, he took his gun and went on the defensive.",4
"He
passenger who relates this story was with his foot in the stirrup, about to go up, and the other two travelers were behind him and willing to follow him.",4
But he stayed with the foot in the stirrup and therefore his companions were to continue as they were.,4
Everyone looked at the coachman and the guard and give ear.,4
As the driver and the guard looked back and even the front horse pricked up his ears and looked in the same direction.,4
"The silence resulting from the stagecoach stop, added the night, was impressive.",4
"The heavy breathing of the horses made the car tremble, and the hearts of travelers throbbed with such force that perhaps they could have heard.",3
Finally he rang at the top of the hill the furious gallop of a horse.,4
-High!,0
"She cried the guarda.- Stop, or I'll shoot!",4
"Immediately the rider reined his horse passing and little voice was heard
a man asking:
'Is this the diligence of Dover?",4
'Nothing you care!,4
He said the guarda.- Who are you?,4
'Is this the diligence of Dover?,2
'What you want to know?,4
"If it is, I must speak with one of the passengers.",3
-Which?,0
Jarvis Lorry 'Mr.,4
"Passengers already described said that this was his name, and the guard, the driver and two other passengers watched with the greatest suspicion.",4
-¡Quedaos where you are!,4
She cried the guard between the fog because if I'm wrong no one would be able to repair the error in your whole life.,4
"Lorry gentleman who call, answer the truth.",4
What is it?,4
- asked the passenger shakily.,3
-Who calls me?,0
Jeremiah are ye?,4
"I do not like the voice of Jeremiah, if this is Jeremiah growled the guard to himself.",4
"Yes, Mr. Lorry.",4
-What happen?,0
-a office that you send from there T. and Company.,3
"I know this messenger, guard said Mr. Lorry down the road, what the other travelers did not put the smallest inconvenience, as they rushed to get into the car and close the puerta.- You can zoom in, there is no danger .",4
"'I think so, but I'm not sure I mutter the guarda.- Hey, the rider!",4
-What happens?,0
cried the voice questioned more anger than before.,4
'You can get close to the step.,4
"And try not to take the hand because I Holsters
wrong with my mistakes more quickly and take the form of lead.",4
Go forward slowly so that you see.,3
"Figures slowly appeared rider and horse went to stand alongside the diligence, where the traveler was.",4
the rider and with eyes fixed on the guard handed the passenger a folded paper stopped.,4
Fatigued were the rider and his horse and both covered in mud from the hooves hat from last to first.,4
-saves said the traveler.,4
'What you want?,4
He asked the guard ready to shoot at the slightest sign of danger.,4
-There is nothing to fear.,4
Tellson belong to the Bank.,3
"Surely you know the Tellson Bank, London.",4
I go to Paris on business.,4
Take this crown to drink.,4
Can I read this?,4
-Hacedlo quickly.,0
"He opened the statement and read it to the lantern light diligence, first to himself and then aloud.",4
"""Trust in Dover Miss"" 'You see it's not long, he said guard Jeremiah, tell my answer is: ""Risen"".",4
-¡Vaya a strange answer!,4
Jeremiah said boggling.,0
-Llevad this answer and she will know that I received the message.,4
"Good trip, farewell!",4
"So saying, the traveler opened the door and entered the vehicle without being helped by two already in him, who had occupied hide their watches and money on boots and pretended, at that time, being asleep .",4
"The car went on the march, wrapped in thicker haze to start the descent.",4
"The guard returned to put in the box arquebuse not without looking at the pistols hanging from his belt and then examined a case that was under his seat, where he had some tools, a pair of torches and a box with flint and tinder to light the lamps of the carriage, which had to do several times at night when the wind extinguished, and could, if he was lucky, in about five minutes.",4
-¡Tomás!,0
She cried the coachman keeps calling.,4
"What I want, Joseph?",4
Did you hear the message?,3
-Yes.,0
-How about?,0
"Nothing, Joseph.",4
"Well, it's a coincidence murmured the guard because I think the same.",4
"Jeremiah, and only in the mist and darkness, dismounted, not only
to rest his horse, but also to clean the mud dry face and a little hat.",4
"And when he stopped hearing the noise of the wheels of the coach, he started down the hill.",4
"-After gallop from Temple Bar, said the mare friend, not your legs will trust me until we're on level ground.",4
"""Risen"".",0
It is a very rare message.,4
