Sentences,Score
"Chapitre I Le temps
Charles Dickens
Tale of Two Cities
Il a été le meilleur des cas, ce fut le pire des temps, l'âge de la sagesse, et aussi de la folie; l'époque de la croyance et de l'incroyance; l'ère de la lumière et l'obscurité; le printemps de l'espoir et l'hiver du désespoir.",4
"Nous avions tout avant, mais nous avions rien; derechura a marché dans le ciel et nous allions tout le chemin inverse.",4
"En bref, le temps était si semblable à aujourd'hui, nos autorités les plus remarquables insistent sur le fait que, à la fois en ce qui concerne le bien et le mal, est seule comparaison acceptable superlativement.",4
"Sur le trône d'Angleterre était un roi de la mâchoire très développée et la reine visage actuel; sur le trône de France, il était un roi de la mâchoire trop grand et une reine beau visage.",4
"Dans les deux pays, il est plus clair que le cristal aux seigneurs de l'Etat, que les choses en général étaient assurés pour toujours.",4
"Ce fut l'année de notre Seigneur, en 1775.",4
"Ainsi, il a favorisé dans des moments comme cela,
avait été accordée à l'Angleterre les révélations spirituelles.",4
"Mme Southcott avait rencontré récemment le vingt-cinquième anniversaire de son apparition sublime dans le monde, qui a été annoncé en temps opportun par un garde du corps, prédisant que les préparatifs ont été faits pour avaler Londres et de Westminster.",4
"Même le spectre de Callejuela del Gallo avait été définitivement banni, après rôder dans le monde depuis douze ans et de révéler leurs messages aux mortels de la même manière que les esprits l'année dernière, qui a accusé une pauvreté extraordinaire d'originalité par sa révélation.",4
"Les seuls messages ordre terrestre qui a reçu la couronne et le peuple anglais, est venu d'un congrès des sujets résidents britanniques en Amérique, les messages, assez curieusement, se sont avérés plus importants pour la race humaine que peu ont été reçus par la médiation l'un des elfes Callejuela del Gallo.",4
"France, moins favorisés en matière d'ordre spirituel que sa sœur, bouclier et trident, roulaient avec finesse extraordinaire descente, ce qui rend la monnaie de papier et gastándoselo.",4
"Sous la direction de ses pasteurs chrétiens, il a aussi amusé avec les distractions comme humanitaire que la condamnation d'un jeune homme qu'il a coupé ses mains, il a déchiré sa langue avec des pinces et brûlé vif, pour le crime odieux de ne pas avoir agenouillée dans la boue une pluie de jour, de payer la déférence due à une procession de moines qui passaient devant ses yeux, même à la distance de cinquante ou soixante mètres.",4
"Il est très probable que lorsque l'homme malheureux a été prise à la torture, le sort de bûcheron avait déjà marqué dans les bois de la France et de la Norvège, les arbres anciens que la scie a dû tourner les tables pour construire cette plate-forme mobile, à condition que votre panier et votre couteau, comment a été terrible pour atteindre la gloire dans l'histoire.",4
"Il est également tout à fait possible que dans les hangars rustiques certains agriculteurs de terres immédiatement à Paris, étaient ce jour-là, à l'abri des intempéries, des charrettes pleines de boue grossiers, husmeadas par le porc et la volaille au service de la perche, qui la mort laboureur avait déjà choisi de les rendre les wagons de la Révolution.",4
"Il est vrai que si le bûcheron et le paysan ont travaillé sans cesse, son travail était calme et aucune oreille humaine perçoit leurs traces encore, d'autant plus que l'hébergement la crainte que ceux éveillées, il aurait été d'avouer athée et traître.",4
Il y avait de l'ordre atomique à peine en Angleterre et à la protection pour justifier la vantardise nationale.,4
"La capitale elle-même était, la nuit, vols à main armée de théâtre et de crimes audacieux.",4
Publiquement les familles de ne pas quitter la ville sans porter devant leurs titres au seul dépôt des endroits où ils étaient sûrs qu'il a mis en garde.,4
"Ce qui la nuit, il a exercé highwayman, a agi day trader honnête dans la ville, et si jamais il a été reconnu par l'un des commerçants qui assaillaient en sa qualité de capitaine, il a tiré audacieusement balle dans la tête pour échapper après ; Mail a été attaqué sept stagecoach bandits, qui a tué trois, la garde, qui a ensuite, à son tour, a été tué par les quatre autres, en raison des munitions ont échoué, et si la mesure pourrait être tranquillement Stolen; Grand maire de Londres a été accosté à Turnham Green par un bandit qui a volé le héros illustre à la barbe de sa nombreuse escorte.",4
les prisons de Londres dans des batailles acharnées entre les prisonniers et leurs geôliers et la majesté de la loi sont commodément arcabuceaba ont été combattues.,4
"Les voleurs arrachaient le diamant traverse le cou des nobles seigneurs dans les mêmes salles de classe de la Cour; Mousquetaires est entré San Gil chercher la contrebande des genres, mais la foule a tiré sur les soldats, qui ont répondu de la même façon contre la population, sans que personne ne se passerait-il à penser qu'un tel événement n'a pas été l'un des plus commun et trivial.",4
"A

tout cela le bourreau était toujours très occupé, mais ne sert à rien.",4
"Dès qu'il a quitté pendu gros bouquets de criminels, et pendu samedi un voleur qui jeudi dernier a été surpris d'entrer dans la maison d'un voisin ou brûlé dans les dizaines de Newgate ou le lendemain matin, des centaines de brochures en porte-hall Westminter; et il a tué aujourd'hui et demain un assassin odieux à un voleur malheureux qui a pris le fils de six pence un fermier.",4
Toutes ces choses et mille autres comme qui se sont produits dans l'année bénie en 1775.,4
"Entouré par eux, tandis que le Woodman et Labriego ont poursuivi leur travail lent, les deux personnages de grandes mâchoires et deux femmes, belles et l'autre insignifiant, et avaient vécu heureux de mener leurs droits divins.",4
"Ainsi, 770 années et cinq tu conduit sa grandeur et myriades d'êtres insignifiants, parmi lesquels ceux qui sont nécessaires dans cette chronique, le long des routes qui se trouvait devant ses pas.",4
"Chapitre II Diligence
sentier pédestre le premier des personnages dans cette histoire, la nuit du vendredi Novembre était à Douvres.",4
Le voyageur a suivi la diligence alors qu'elle se déplaçait lentement sur la pente de la colline Shooter.,4
"Le voyageur se promenait dans la boue, à côté de la voiture de boîte bancale, tout comme ses compagnons, ne désire pas exercer, mais parce que la pente, les harnais et la boue et la diligence, étaient si lourds que les pauvres chevaux avaient déjà arrêté trois fois, et l'un d'entre eux traversé la voiture sur la route dans le but tournant séditieux à Blackheath.",4
"Les rênes et le fouet, le conducteur et la garde, combinés, avaient lu les ordonnances de l'article qui garantit que jamais, en aucun cas, être des animaux, droit et grâce à ce coup à la ligne de service.",4
"Avec la tête et la queue tremblante manière éprouvée par la route de boue épaisse, trébuchant et tumbling de temps en temps.",4
"Et quand le contremaître leur a donné un peu de repos, le cheval avant secouant violemment la tête comme pour nier la possibilité que le véhicule pourrait ne jamais atteindre le sommet de la colline.",4
"Ils ont couvert les creux et glissés attachés à la terre des nuages ​​de vapeur d'eau, comme les mauvais esprits en quête de repos et ne le trouve pas.",4
"Le brouillard était collante et très froid et a progressé dans l'air pour former des boucles et des vagues, qui ont été poursuivis et ont atteint, comme les vagues d'une mer agitée.",4
"Il était assez dense pour enfermer à la lumière déversant du cercle étroit des lampes de la voiture, pour éviter les jets de vapeur dégageant les chevaux qu'ils ont vu le nez.",4
Deux passagers outre mentionné péniblement gravi la pente à côté de diligence.,3
Les trois hommes avaient téléchargé leur cou portaient des manteaux et des bottes.,4
"Aucun d'entre eux pourrait dire qu'ils étaient leurs compagnons, si recataban soigneusement tous ses traits et de caractère dans les yeux du corps et de l'âme de leurs pairs.",4
"Au moment où les voyageurs ont montré peu communicatif avec leurs pairs, parce que l'un d'eux pourrait être un bandit ou un complice des bandits.",4
"Quant à ces derniers, ils ont abondé dans les tavernes ou auberges extraordinaire, où l'on pouvait trouver de nombreux soldats à la solde du capitaine, et parmi eux sont apparus à partir du même propriétaire jusqu'à ce que le dernier marié.",4
blocs de glace.,4
"Il portait sa main sur un coffre dans lequel il avait un fusil chargé, et beaucoup de six ou sept canons sur ARZON une couche inférieure de zibeline.",4
"Lors de ce voyage la diligence de Douvres est arrivé et tout ce qu'il a fait, à savoir que la garde soupçonné de voyageurs, ils se sont méfiés et la garde, et regarda avec méfiance.",4
"En tant que conducteur, je n'étais sûr de ses chevaux; mais même en ce qui concerne ceux-ci, il a juré, par les deux Testaments que les chevaux ne convenaient pas pour ce voyage.",4
-¡Arre!,0
cria le cochero.- Up!,4
Un effort plus et vous arriverez!,4
"Hé, Joseph!",0
-Que veux-tu?,0
Il a dit le gardien.,4
-Quelle heure il est?,4
« Au moins dix onze heures.,4
-¡Demonio!,0
"Elle a pleuré la cochero.- Et nous n'avons pas encore atteint le sommet de cette
colline sacrément.",4
Hue!,0
Hue!,0
Perezosos!,0
"Le cheval avant, qui a reçu un coup de fouet conducteur, a sauté et a entrepris
le mars traînant ses trois compagnons.",4
"Stagecoach a continué à progresser, suivi par les voyageurs, qui ont essayé de ne pas quitter son et arrêté lorsque le véhicule dans lequel il a fait, parce que si l'un d'eux avait proposé un compagnon avancer un peu dans le brouillard et l'obscurité, aurait exposé à recevoir un coup de feu comme un brigand.",4
"Le dernier effort a pris la voiture au sommet de la colline, où les trois chevaux se sont arrêtés pour reprendre son souffle, tandis que la garde vers le bas pour monter la roue pour la descente et ouvrir la porte de la voiture pour les voyageurs montasen.",4
Je -¡José!,4
dit le conducteur de son siège.,4
"Que voulez-vous, Tom?",3
Les deux étaient à l'écoute.,4
Je pense que je sais au sujet d'un cheval au trot.,3
"Eh bien, je pense qu'il galope répondit le garde percher son sitio.-
Messieurs, le roi!",4
"Et après avoir fait cet appel, il a pris son fusil et est allé sur la défensive.",4
"la
passagers qui raconte cette histoire était avec son pied dans l'étrier, sur le point de monter, et les deux autres voyageurs étaient derrière lui et prêt à le suivre.",4
Mais il est resté avec le pied à l'étrier et donc ses compagnons devaient continuer comme ils l'étaient.,4
Tout le monde regardait le cocher et la garde et prêtez l'oreille.,4
Comme le conducteur et la garde ont regardé en arrière et même le cheval avant dressa les oreilles et regarda dans la même direction.,4
"Le silence résultant de l'arrêt de stagecoach, a ajouté la nuit, était impressionnant.",4
"La respiration lourde des chevaux a fait trembler la voiture, et le cœur des voyageurs palpitait avec une telle force que peut-être qu'ils auraient pu entendre.",4
"Enfin, il a sonné au sommet de la colline le galop furieux d'un cheval.",4
Mettre un terme!,3
"Elle a pleuré l'arrêt guarda.-, ou je tire!",4
"Aussitôt le cavalier arrêta son passage de cheval et petite voix a été entendue
un homme demander:
« Est-ce la diligence de Douvres?",4
« Rien ne vous inquiétez!,0
Il a dit que le guarda.- Qui êtes-vous?,4
« Est-ce la diligence de Douvres?,4
« Qu'est-ce que vous voulez savoir?,3
"Dans ce cas, je dois parler avec l'un des passagers.",4
-Qui?,0
"M. Jarvis Lorry

Les passagers déjà décrits dit que c'était son nom, et la garde, le conducteur et deux autres passagers regardé avec le plus grand soupçon.",4
-¡Quedaos où vous êtes!,0
Elle a pleuré la garde entre le brouillard parce que si je me trompe personne ne serait en mesure de réparer l'erreur dans votre vie.,4
"monsieur Lorry qui appellent, répondre à la vérité.",4
Qu'est-ce - a demandé au passager d'une voix tremblante.,4
Qui m'a appelé?,4
Jérémie êtes-vous?,0
"Je n'aime pas la voix de Jérémie, si cela est Jérémie grondait la garde à lui-même.",4
"Oui, M. Lorry.",4
-Que se passe-t-il?,4
bureau -a que vous envoyez à partir de là T. and Company.,4
"Je sais que ce messager, gardien a dit M. Lorry sur la route, ce que les autres voyageurs n'a pas mis le moindre inconvénient, car ils se sont précipités pour entrer dans la voiture et fermer la puerta.- Vous pouvez zoomer, il n'y a pas de danger .",4
"« Je pense que oui, mais je ne suis pas sûr que je marmonne le guarda.- Hey, le cavalier!",4
-Que se passe-t-il?,4
cria la voix en question plus de colère que jamais.,4
« Vous pouvez vous rapprocher de l'étape.,3
"Et essayez de ne pas prendre la main parce que j'ai Holsters
mal avec mes erreurs plus rapidement et prendre la forme de plomb.",4
Avancez lentement pour que vous voyez.,4
"Les chiffres lentement apparu cavalier et le cheval alla se placer à côté de la diligence, où le voyageur était.",4
le cavalier et les yeux fixés sur la garde remis au passager un papier plié arrêté.,4
Fatigués étaient le cavalier et son cheval et les deux couverts de boue du chapeau de sabots du dernier au premier.,4
-saves dit le voyageur.,4
« Qu'est-ce que vous voulez?,0
Il a demandé à la garde prêt à tirer au moindre signe de danger.,4
« Il n'y a rien à craindre.,4
Tellson appartiennent à la Banque.,4
"Vous connaissez sûrement la Banque Tellson, Londres.",4
Je vais à Paris pour affaires.,4
Prenez cette couronne à boire.,3
Lire ce que je?,3
-Hacedlo rapidement.,0
"Il a ouvert la déclaration et le lire à la diligence de la lumière de la lanterne, d'abord à lui-même et à haute voix.",4
"« La confiance à Dover Miss » « Vous voyez que c'est pas longtemps, dit-il garde Jérémie, dis à mon réponse est: ""Risen"".",4
-¡Vaya une réponse étrange!,3
Jérémie dit ahurissant.,0
-Llevad cette réponse et elle saura que je reçu le message.,4
"Bon voyage, adieu!",4
"En parlant ainsi, le voyageur a ouvert la porte et entra dans le véhicule sans être aidé par deux déjà en lui, qui avait occupé cacher leurs montres et de l'argent sur des bottes et fit semblant, à ce moment-là, être endormi .",4
"La voiture a continué la mars, enveloppé dans la brume épaisse pour commencer la descente.",4
"Le gardien est revenu à mettre dans la boîte arquebuse pas sans regarder les pistolets accrochés à sa ceinture, puis examiné une affaire qui était sous son siège, où il avait quelques outils, une paire de torches et une boîte à silex et amadou pour allumer les lampes de la voiture, qui a dû faire plusieurs fois la nuit, quand le vent éteint, et pourrait, s'il a eu la chance, en cinq minutes environ.",4
-¡Tomás!,0
Elle a pleuré le cocher continue d'appeler.,3
"Ce que je veux, Joseph?",4
Avez-vous entendu le message?,3
Oui.,0
-Qu'en penses-tu?,0
"Rien, Joseph.",0
"Eh bien, c'est une coïncidence murmura le garde parce que je pense la même chose.",4
"Jérémie, et seulement dans le brouillard et l'obscurité, mit pied à terre, non seulement
reposer son cheval, mais aussi pour nettoyer la boue visage sec et un petit chapeau.",4
"Et quand il a cessé d'entendre le bruit des roues de l'entraîneur, il a commencé à descendre la colline.",4
"galop -Après de Temple Bar, dit l'ami mare, pas vos jambes me faire confiance jusqu'à ce que nous sommes sur un terrain plat.",4
« Ressuscité ».,0
Ce message est très rare.,2
Et cela ne comprend pas Jérémie.,4
"Et Jérémie ami, s'il est devenu à la mode ressuscitée, peut-être que vous avez vu un engagement sérieux.",4
"Chapitre III: Les ombres de la nuit
Il est un fait merveilleux et digne y penser, que chaque homme est un profond secret aux autres.",4
"Parfois, quand je marche la nuit dans une ville, je ne peux pas empêcher de penser que chacune de ces maisons enveloppées dans l'ombre garde son propre secret; chaque chambre de chaque enceinte aussi son secret; que chaque cœur battant dans les centaines de milliers de seins, il y a, à certains égards, un secret au cœur qui bat plus près de lui.",4
"Et donc, c'est donc concerné en particulier, à la fois le messager qui rentrait à cheval, comme les trois passagers enfermés dans l'enceinte d'une étroite stagecoach, étaient chacun un profond mystère pour les autres, aussi complète que si séparément ils avaient voyagé dans sa propre voiture et tout un comté étaient entre elles.",4
"Le messager a pris le chemin du retour au trot, s'arrêtant aussi souvent dans les tavernes était sur son chemin pour prendre un verre, mais sans parler à personne et de garder le chapeau trempé jusqu'aux yeux, qui étaient noirs, très ensemble et expression sinistre.",4
"Ils sont apparus sous un chapeau, mais comme un crachoir triangulaire ressemblait et un tabard ont commencé sur le menton et a pris fin au niveau des genoux de l'individu.",4
"Non, Jérémie, non!",0
Il murmura l'esprit messager fixe sur le même sujet « qui ne peut convenirte.,4
"Vous, Jérémie, vous êtes un honnête commerçant, et ne devrait nullement que pour votre entreprise.",4
« Ressuscité ».,0
Puis-je mourir si je n'étais pas ivre pour me dire ça!,4
"Donc, inquiet lui a apporté le message que plusieurs fois il ôta son chapeau pour se gratter la tête, qui, à l'exception de la couronne, qui était chauve, était couvert de poils épais et grossiers qui sont tombés presque à la hauteur du nez.
En revenant au trot pour transmettre le message au veilleur de nuit bancaire Tellson à Temple Bar, qui devait la transmettre à ses supérieurs, les ombres de la nuit ont des formes telles que le message a constamment rappelé, alors que pour la jument constituée cause de préoccupation, et doit certainement à chaque pas, parce qu'elle se manifeste assez mal à l'aise.",4
"Pendant ce temps, pour les voyageurs qui étaient sur l'entraîneur qui ont fonctionné titubant, ces ombres formes ont ses yeux mi-clos et les emprunterez pensées confuses.",4
Tellson semblait que la Banque avait déménagé à la scène.,4
"Le passager qui appartenait à l'établissement, avec le dernier bras des ceintures, qui ont empêché tout au long de son voisin tourné lorsque la voiture a été l'un de ses sauts, coupés au carré en place avec les yeux mi-clos.",4
"Je pensais que je voyais que les vitres de la voiture, la lanterne qui brillait faiblement et en vrac qui a fait l'autre passager, étaient les mêmes Banque et à ce moment-là il a effectué de nombreuses entreprises.",4
"le bruit de Harnesses était le tintement des pièces de monnaie, et a payé plus de lettres en cinq minutes ce que la Banque Tellson, en dépit de ses relations nationales et étrangères, n'a jamais payé trois fois en même temps.",4
