Sentences,Score
"Capítulo I La época
Charles Dickens
Historia de dos ciudades
Era el mejor de los tiempos, era el peor de los tiempos, la edad de la sabiduría, y también de la locura; la época de las creencias y de la incredulidad; la era de la luz y de las tinieblas; la primavera de la esperanza y el invierno de la desesperación.",4
"Todo lo poseíamos, pero no teníamos nada; caminábamos en derechura al cielo y nos extraviábamos por el camino opuesto.",4
"En una palabra, aquella época era tan parecida a la actual, que nuestras más notables autoridades insisten en que, tanto en lo que se refiere al bien como al mal, sólo es aceptable la comparación en grado superlativo.",4
En el trono de Inglaterra había un rey de mandíbula muy desarrollada y una reina de cara corriente; en el trono de Francia había un rey también de gran quijada y una reina de hermoso rostro.,4
"En ambos países era más claro que el cristal para los señores del Estado, que las cosas, en general, estaban aseguradas para siempre.",4
"Era el año de Nuestro Señor, mil setecientos setenta y cinco.",4
"En período tan favorecido como aquél,
habían sido concedidas a Inglaterra las revelaciones espirituales.",4
"Recientemente la señora Southcott había cumplido el vigésimo quinto aniversario de su aparición sublime en el mundo, que fue anunciada con la antelación debida por un guardia de corps, pronosticando que se hacían preparativos para tragarse a Londres y a Westminster.",4
"Incluso el fantasma de la Callejuela del Gallo había sido definitivamente desterrado, después de rondar por el mundo por espacio de doce años y de revelar sus mensajes a los mortales de la misma forma que los espíritus del año anterior, que acusaron una pobreza extraordinaria de originalidad al revelar los suyos.",4
"Los únicos mensajes de orden terrenal que recibieron la corona y el pueblo ingleses, procedían de un congreso de súbditos británicos residentes en América, mensajes que, por raro que parezca, han resultado de mayor importancia para la raza humana que cuantos se recibieran por la mediación de cualquiera de los duendes de la Callejuela del Gallo.",4
"Francia, menos favorecida en asuntos de orden espiritual que su hermana, la del escudo y del tridente, rodaba con extraordinaria suavidad pendiente abajo, fabricando papel moneda y gastándoselo.",4
"Bajo la dirección de sus pastores cristianos, se entretenía, además, con distracciones tan humanitarias como sentenciar a un joven a que se le cortaran las manos, se le arrancara la lengua con tenazas y lo quemaran vivo, por el horrendo delito de no haberse arrodillado en el fango un día lluvioso, para rendir el debido acatamiento a una procesión de frailes que pasó ante su vista, aunque a la distancia de cincuenta o sesenta metros.",4
"Es muy probable que cuando aquel infeliz fue llevado al suplicio, el leñador Destino hubiera marcado ya, en los bosques de Francia y de Noruega, los añosos árboles que la sierra había de convertir en tablas para construir aquella plataforma movible, provista de su cesta y de su cuchilla, que tan terrible fama había de alcanzar en la Historia.",4
"Es también, muy posible que en los rústicos cobertizos de algunos labradores de las tierras inmediatas a París, estuvieran aquel día, resguardadas del mal tiempo, groseras carretas llenas de fango, husmeadas por los cerdos y sirviendo de percha a las aves de corral, que el labriego Muerte había elegido ya para que fueran las carretas de la Revolución.",4
"Bien es verdad que si el Leñador y el Labriego trabajaban incesantemente, su labor era silenciosa y ningún oído humano percibía sus quedos pasos, tanto más cuanto que abrigar el temor de que aquellos estuvieran despiertos, habría equivalido a confesarse ateo y traidor.",4
Apenas si había en Inglaterra un átomo de orden y de protección que justificara la jactancia nacional.,4
"La misma capital era, por las noches, teatro de robos a mano armada y de osados crímenes.",4
"Públicamente se avisaba a las familias que no salieran de la ciudad sin llevar antes sus mobiliarios a los guardamuebles, únicos sitios donde estaban seguros.",4
"El que por la noche ejercía de bandolero, actuaba de día de honrado mercader en la City, y si alguna vez era reconocido por uno de los comerciantes a quienes asaltaba en su carácter de capitán, le disparaba atrevidamente un tiro en la cabeza para huir luego; la diligencia correo fue atacada por siete bandoleros, de los cuales mató tres el guarda, que luego, a su vez, murió a manos de los otros cuatro, a consecuencia de haber fallado sus municiones, y así la diligencia pudo ser robada tranquilamente; el magnífico alcalde mayor de Londres fue atracado en Turnham Green por un bandido que despojó al ilustre prócer a las barbas de su numerosa escolta.",4
En las cárceles de Londres se libraban fieras batallas entre los presos y sus carceleros y la majestad de la Ley los arcabuceaba convenientemente.,4
